Method,Start,End,Recombinant,Parent1,Parent2,Pvalue
Maxchi,1493,1536,CPZ,A1D,BF,0.19126760557123534
Maxchi,1480,1535,CPZ,BF,C2U,0.4062453154017831
Maxchi,1425,1480,CPZ,01C,BF1,0.03800787340017132
Maxchi,1493,1536,CPZ,02B,BF1,0.19126760557123534
Maxchi,1408,1456,CPZ,BC,C,0.004938322821596022
Maxchi,5873,5926,CPZ,C,D,0.02346431613124951
Maxchi,5739,5791,CPZ,02B,C2U,0.016230048574613385
Maxchi,1549,1601,CPZ,BF1,D,0.010147382137106836
Maxchi,1425,1480,CPZ,01C,F1,0.03800787340017132
Maxchi,1493,1536,CPZ,02A,F1,0.19126760557123534
Maxchi,5762,5812,CPZ,02B,F1,0.041226833337163815
Maxchi,1493,1536,CPZ,A2D,F1,0.19126760557123534
Maxchi,1480,1534,CPZ,AD,F1,0.2856617354237437
Maxchi,1493,1536,CPZ,BC,F1,0.19126760557123534
Maxchi,1807,1854,CPZ,BF1,F1,0.28568915041676335
Maxchi,1545,1612,CPZ,F1,K,0.0016300851601140519
Maxchi,1545,1612,CPZ,F1,L,0.0016300851601140519
Maxchi,1334,1384,CPZ,BC,F2,0.22525290636064965
Maxchi,6152,6200,CPZ,F2,K,0.056738221375193486
Maxchi,1635,1686,CPZ,A5U,G,0.041990223399606556
Maxchi,5739,5791,CPZ,02B,J,0.016230048574613385
Maxchi,1480,1540,CPZ,BC,J,0.18883587881481118
Maxchi,1480,1535,CPZ,BF,J,0.4062453154017831
Maxchi,1493,1536,CPZ,BF1,J,0.19126760557123534
Maxchi,1254,1302,CPZ,BG,J,0.156337198788842
Maxchi,5800,5850,CPZ,01B,K,0.8754076539047313
Maxchi,5814,5869,CPZ,02A,K,0.03027193971287689
Maxchi,5927,5977,CPZ,A2D,K,0.02922569518224908
Maxchi,5917,5965,CPZ,K,L,0.1156839933728665
Maxchi,5934,5981,CPZ,K,cpx,0.23144749389001512
Maxchi,1493,1536,CPZ,BF,cpx,0.19126760557123534
Maxchi,8338,8391,D,01A1,BC,0.0035301672599762136
Maxchi,1334,1385,D,BC,CPZ,0.48494499545839864
Maxchi,1418,1470,D,CPZ,DF,0.01987884067779305
Maxchi,1549,1601,D,CPZ,F1,0.010147382137106836
Maxchi,1334,1385,DF,BC,CPZ,0.48494499545839864
Maxchi,1545,1612,DF,BF1,CPZ,0.0035891607042497094
Maxchi,2916,2971,F1,02G,BG,0.15646388873798306
Maxchi,1545,1612,F1,CPZ,DF,0.0057717268220953445
Maxchi,1545,1606,F1,CPZ,H,0.0006630279126930173
Maxchi,1493,1536,F1,CPZ,J,0.19126760557123534
Maxchi,2758,2804,F2,A2,BG,0.11873532829140683
Maxchi,3007,3053,F2,02G,BG,0.25521505806585826
Maxchi,6162,6208,F2,CPZ,DF,0.017340905685188524
Maxchi,1545,1612,F2,CPZ,H,0.018302510964056475
Maxchi,3125,3183,G,01A1,A5U,0.031730320147205275
Maxchi,3125,3183,G,A2D,A5U,0.031730320147205275
Maxchi,2862,2925,G,A5U,C2U,0.002167444680705176
Maxchi,5178,5228,G,02G,BG,0.5090668286246705
Maxchi,8442,8487,G,AE,C,0.20545501295887386
Maxchi,2799,2862,G,A5U,CD,0.002167444680705176
Maxchi,2880,2935,G,A5U,DF,0.13659707254927558
Maxchi,3080,3128,G,A5U,L,0.156337198788842
Maxchi,2880,2935,G,A5U,cpx,0.13659707254927558
Maxchi,5806,5852,H,02B,CPZ,0.33227420853514544
Maxchi,2834,2860,H,A5U,BC,0.002137148499059883
Maxchi,1545,1612,H,BF1,CPZ,0.0035891607042497094
Maxchi,2353,2406,H,BG,J,0.04123603140394829
Maxchi,2999,3047,J,02G,BG,0.007318218318355071
Maxchi,2152,2202,J,A1D,BG,0.14891467317876161
Maxchi,2234,2293,J,A5U,BG,0.14141828045999016
Maxchi,8053,8108,J,01B,C,0.09608648170693265
Maxchi,8346,8397,J,A2D,C,0.02443153941165023
Maxchi,8396,8443,J,AG,C,0.45681900738506775
Maxchi,8535,8545,J,C,DF,0.04665762549215771
Maxchi,5842,5891,K,01A1,CPZ,0.11522753929491991
Maxchi,5761,5815,K,02B,CPZ,0.040017694726093886
Maxchi,5759,5803,K,A1D,CPZ,0.23898174182917126
Maxchi,8501,8543,K,BC,CD,0.43428565114381135
Maxchi,1545,1612,K,BF,CPZ,0.001585405922953041
Maxchi,1545,1612,K,BF1,CPZ,0.0035891607042497094
Maxchi,2950,2999,K,02G,BG,0.007318218318355071
Maxchi,1486,1538,L,BC,CPZ,0.06342149098724886
Maxchi,1545,1612,L,BF1,CPZ,0.012959585443936167
Maxchi,3080,3128,L,02G,BG,0.12133525035848208
Maxchi,7913,7971,L,A1D,cpx,0.018705436937486327
Maxchi,3028,3080,cpx,A2,A5U,0.14103164052071218
Maxchi,7893,7946,cpx,A3,C,0.06578398039003458
Maxchi,7980,8032,cpx,A1D,A5U,0.006894128651953374
Maxchi,1288,1339,cpx,BC,CPZ,0.11767260740503595
Maxchi,3080,3128,cpx,02G,BG,0.12133525035848208
Maxchi,7883,7936,cpx,02B,C,0.07450614430338962
