"","tree_30","tree_8","tree_31","tree_10","tree_2","tree_21","most_probable","window_prob","modal_class","modal_prob","modal_prop","site"
"17",0.204308,0.104438,0.0719193,0.286496,0.115982,0.216857,"tree_10","tree_10","tree_10",0.254591364444444,1,17
"18",0.204308,0.104438,0.0719193,0.286496,0.115982,0.216857,"tree_10","tree_10","tree_10",0.255433435675676,1,18
"19",0.153876,0.328821,0.0371825,0.23807,0.0734233,0.168627,"tree_8","tree_10","tree_10",0.256208108421053,1,19
"20",0.203833,0.106338,0.0718783,0.285829,0.11572,0.216402,"tree_10","tree_10","tree_10",0.256948823589744,1,20
"21",0.153765,0.329187,0.0372516,0.237709,0.0733801,0.168707,"tree_8","tree_10","tree_10",0.256932105641026,1,21
"22",0.066569,0.707346,0.0139479,0.107632,0.0298777,0.0746279,"tree_8","tree_10","tree_10",0.25688108,1,22
"23",0.121516,0.0242735,0.00455496,0.0817614,0.486532,0.281362,"tree_2","tree_10","tree_10",0.263068121025641,1,23
"24",0.153765,0.329187,0.0372516,0.237709,0.0733801,0.168707,"tree_8","tree_10","tree_10",0.263084326153846,1,24
"25",0.144699,0.373243,0.0291895,0.227371,0.06742,0.158077,"tree_8","tree_10","tree_10",0.263084326153846,1,25
"26",0.0389965,0.00447337,0.00902359,0.028944,0.841294,0.0772683,"tree_2","tree_10","tree_10",0.263067608205128,1,26
"27",0.135154,0.0203272,0.0631133,0.430536,0.108971,0.241898,"tree_10","tree_10","tree_10",0.263061864615385,1,27
"28",0.247229,0.0346369,0.0668404,0.28405,0.134147,0.233097,"tree_10","tree_10","tree_10",0.259896428717949,1,28
"29",0.241964,0.0406964,0.0796787,0.275384,0.132348,0.229929,"tree_10","tree_10","tree_10",0.259905762051282,1,29
"30",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.259930326153846,1,30
"31",0.204516,0.103926,0.0710939,0.28684,0.116524,0.2171,"tree_10","tree_10","tree_10",0.261665172307692,1,31
"32",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.261674685128205,1,32
"33",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.261701582564103,1,33
"34",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.261682787692308,1,34
"35",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.257346249230769,1,35
"36",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.257872982051282,1,36
"37",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.257837084615385,1,37
"38",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.276020828205128,1,38
"39",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.277226623076923,1,39
"40",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.277224546153846,1,40
"41",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.296544392307692,1,41
"42",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.301111469230769,1,42
"43",0.204516,0.103926,0.0710939,0.28684,0.116524,0.2171,"tree_10","tree_10","tree_10",0.308777612820513,1,43
"44",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.310009382051282,1,44
"45",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.307968638461538,1,45
"46",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.314536638461538,1,46
"47",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.310824125641026,1,47
"48",0.204516,0.103926,0.0710939,0.28684,0.116524,0.2171,"tree_10","tree_10","tree_10",0.310845176923077,1,48
"49",0.204516,0.103926,0.0710939,0.28684,0.116524,0.2171,"tree_10","tree_10","tree_10",0.311088433333333,1,49
"50",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.311071715384615,1,50
"51",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.311021228205128,1,51
"52",0.204516,0.103926,0.0710939,0.28684,0.116524,0.2171,"tree_10","tree_10","tree_10",0.31100451025641,1,52
"53",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.31100451025641,1,53
"54",0.110023,0.518118,0.0247431,0.171697,0.0533352,0.122083,"tree_8","tree_10","tree_10",0.311026997435897,1,54
"55",0.000937052,0.00027383,0.000107533,0.0217969,0.147902,0.828982,"tree_21","tree_10","tree_10",0.31101027948718,1,55
"56",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.31100451025641,1,56
"57",0.000218885,0.00148299,0.000797578,0.995662,0.000878358,0.000960332,"tree_10","tree_10","tree_10",0.310987792307692,1,57
"58",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.304077392307692,1,58
"59",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.304077392307692,1,59
"60",0.000411149,0.00345995,0.00187169,0.991183,0.00115619,0.0019182,"tree_10","tree_10","tree_10",0.3091587,1,60
"61",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.306514366666667,1,61
"62",0.33554,0.00128667,0.00720982,0.380741,0.000741596,0.274481,"tree_10","tree_10","tree_10",0.304908315384615,1,62
"63",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.304880315384615,1,63
"64",0.262638,0.0411635,0.0905852,0.147782,0.0305651,0.427267,"tree_21","tree_10","tree_10",0.304863597435897,1,64
"65",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.30420152051282,1,65
"66",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.299676828205128,1,66
"67",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.294985648717949,1,67
"68",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.294940930769231,1,68
"69",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.294896212820513,1,69
"70",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.294940930769231,1,70
"71",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.294919725641026,1,71
"72",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.29486487948718,1,72
"73",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.294860392307692,1,73
"74",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.297808751282051,1,74
"75",0.203085,0.110293,0.0705131,0.284871,0.115662,0.215575,"tree_10","tree_10","tree_10",0.304549882051282,1,75
"76",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.304562266666667,1,76
"77",0.00119029,0.00120213,0.000360932,0.0153654,0.00502507,0.976856,"tree_21","tree_10","tree_10",0.286193574358974,1,77
"78",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.286039394871795,1,78
"79",0.121396,0.0616503,0.088073,0.483267,0.0414351,0.204178,"tree_10","tree_10","tree_10",0.285390394871795,1,79
"80",0.0124728,0.000864707,0.00633026,0.181742,0.00280496,0.795785,"tree_21","tree_10","tree_10",0.265480471794872,1,80
"81",0.142005,0.386062,0.0255514,0.223112,0.0679941,0.155275,"tree_8","tree_10","tree_10",0.270839753846154,1,81
"82",0.203828,0.105554,0.0719052,0.285748,0.116286,0.216678,"tree_10","tree_10","tree_10",0.264913112820513,1,82
"83",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.258443841025641,1,83
"84",0.159011,0.027599,0.031429,0.259275,0.184063,0.338623,"tree_21","tree_10","tree_10",0.256666125641026,1,84
"85",0.083102,0.128937,0.0185445,0.108633,0.0106353,0.650148,"tree_21","tree_10","tree_10",0.262659946153846,1,85
"86",0.09077,0.00806424,0.0321136,0.102792,0.0163033,0.749957,"tree_21","tree_10","tree_10",0.262698869230769,1,86
"87",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.262756023076923,1,87
"88",0.203367,0.107353,0.0719023,0.285096,0.116036,0.216245,"tree_10","tree_10","tree_10",0.262813176923077,1,88
"89",0.204516,0.103926,0.0710939,0.28684,0.116524,0.2171,"tree_10","tree_10","tree_10",0.262817792307692,1,89
"90",0.202579,0.107819,0.0721097,0.284921,0.115764,0.216808,"tree_10","tree_10","tree_10",0.262695023076923,1,90
"91",0.202266,0.110806,0.0707002,0.284701,0.115373,0.216155,"tree_10","tree_10","tree_10",0.262716279487179,1,91
"92",0.202579,0.107819,0.0721097,0.284921,0.115764,0.216808,"tree_10","tree_10","tree_10",0.262767664102564,1,92
"93",0.203712,0.104398,0.0712812,0.286683,0.116239,0.217687,"tree_10","tree_10","tree_10",0.262753228205128,1,93
"94",0.202266,0.110806,0.0707002,0.284701,0.115373,0.216155,"tree_10","tree_10","tree_10",0.262757843589744,1,94
"95",0.203041,0.106012,0.0721101,0.285579,0.116012,0.217245,"tree_10","tree_10","tree_10",0.262784869230769,1,95
"96",0.19831,0.129972,0.06885,0.279283,0.112467,0.211117,"tree_10","tree_10","tree_10",0.261701433333333,1,96
"97",0.197385,0.130665,0.0689563,0.279083,0.112151,0.211759,"tree_10","tree_10","tree_10",0.268622217948718,1,97
"98",0.0172015,0.00369084,0.00658172,0.260437,0.00416373,0.707925,"tree_21","tree_10","tree_10",0.264505628205128,1,98
"99",0.276504,0.0451558,0.0613003,0.214696,0.122783,0.279561,"tree_21","tree_10","tree_10",0.259428935897436,1,99
"100",0.23559,0.0831423,0.0377457,0.49476,0.0595268,0.089235,"tree_10","tree_10","tree_10",0.262087166666667,1,100
"101",0.204803,0.119791,0.0450327,0.149602,0.0648871,0.415885,"tree_21","tree_10","tree_10",0.263701320512821,1,101
"102",0.00858398,0.00335749,0.384755,0.0334464,0.0246757,0.545182,"tree_21","tree_10","tree_10",0.263740397435897,1,102
"103",0.723337,0.00912196,0.106772,0.0784511,0.0418967,0.0404216,"tree_30","tree_10","tree_10",0.263747448717949,1,103
"104",0.235113,0.0849975,0.0390871,0.518855,0.00238128,0.119566,"tree_10","tree_10","tree_10",0.264417653846154,1,104
"105",0.204555,0.103895,0.0705544,0.287266,0.116478,0.217252,"tree_10","tree_10","tree_10",0.268949397435897,1,105
"106",0.203761,0.104361,0.0707479,0.2871,0.1162,0.21783,"tree_10","tree_10","tree_10",0.270709423076923,1,106
"107",0.203761,0.104361,0.0707479,0.2871,0.1162,0.21783,"tree_10","tree_10","tree_10",0.265998730769231,1,107
"108",0.202592,0.107764,0.0717361,0.285276,0.115713,0.216919,"tree_10","tree_10","tree_10",0.264436269230769,1,108
"109",0.1978,0.130169,0.0676949,0.280083,0.112199,0.212054,"tree_10","tree_10","tree_10",0.264398602564103,1,109
"110",0.203047,0.10601,0.0717157,0.285925,0.115956,0.217347,"tree_10","tree_10","tree_10",0.264411217948718,1,110
"111",0.203761,0.104361,0.0707479,0.2871,0.1162,0.21783,"tree_10","tree_10","tree_10",0.264428397435897,1,111
"112",0.202362,0.110579,0.0701712,0.285185,0.115356,0.216346,"tree_10","tree_10","tree_10",0.264441012820513,1,112
"113",0.202592,0.107764,0.0717361,0.285276,0.115713,0.216919,"tree_10","tree_10","tree_10",0.264404371794872,1,113
"114",0.203047,0.10601,0.0717157,0.285925,0.115956,0.217347,"tree_10","tree_10","tree_10",0.264390243589744,1,114
"115",0.292882,0.0489791,0.0413292,0.242842,0.121092,0.252877,"tree_30","tree_10","tree_10",0.264346448717949,1,115
"116",0.202592,0.107764,0.0717361,0.285276,0.115713,0.216919,"tree_10","tree_10","tree_10",0.264508858974359,1,116
"117",0.0760355,0.657054,0.0162941,0.124549,0.0363076,0.0897603,"tree_8","tree_10","tree_10",0.264625243589744,1,117
"118",0.202592,0.107764,0.0717361,0.285276,0.115713,0.216919,"tree_10","tree_10","tree_10",0.265219730769231,1,118
"119",0.20213,0.107958,0.0716771,0.285413,0.115899,0.216922,"tree_10","tree_10","tree_10",0.266974576923077,1,119
"120",0.202586,0.106208,0.0716498,0.286064,0.116143,0.21735,"tree_10","tree_10","tree_10",0.261599884615385,1,120
"121",0.203298,0.104564,0.0706224,0.287272,0.116403,0.217842,"tree_10","tree_10","tree_10",0.265023807692308,1,121
"122",0.201894,0.110773,0.0700402,0.285371,0.115566,0.216357,"tree_10","tree_10","tree_10",0.271441976923077,1,122
"123",0.20213,0.107958,0.0716771,0.285413,0.115899,0.216922,"tree_10","tree_10","tree_10",0.276690282051282,1,123
"124",0.201894,0.110773,0.0700402,0.285371,0.115566,0.216357,"tree_10","tree_10","tree_10",0.270654153846154,1,124
"125",0.104524,0.526858,0.0220863,0.171433,0.0522109,0.122888,"tree_8","tree_10","tree_10",0.270548230769231,1,125
"126",0.0593798,0.728514,0.0101614,0.101379,0.028742,0.0718242,"tree_8","tree_10","tree_10",0.270454538461538,1,126
"127",0.13573,0.394139,0.02177,0.22416,0.066861,0.15734,"tree_8","tree_10","tree_10",0.270352871794872,1,127
"128",0.201894,0.110773,0.0700402,0.285371,0.115566,0.216357,"tree_10","tree_10","tree_10",0.270313871794872,1,128
"129",0.20213,0.107958,0.0716771,0.285413,0.115899,0.216922,"tree_10","tree_10","tree_10",0.270392128205128,1,129
"130",0.201894,0.110773,0.0700402,0.285371,0.115566,0.216357,"tree_10","tree_10","tree_10",0.27037217948718,1,130
"131",0.20213,0.107958,0.0716771,0.285413,0.115899,0.216922,"tree_10","tree_10","tree_10",0.27028641025641,1,131
"132",0.202052,0.110727,0.0701118,0.285254,0.115586,0.216269,"tree_10","tree_10","tree_10",0.270241820512821,1,132
"133",0.202595,0.108682,0.0717209,0.28415,0.115736,0.217116,"tree_10","tree_10","tree_10",0.270437153846154,1,133
"134",0.202789,0.111422,0.0698527,0.283871,0.114815,0.217252,"tree_10","tree_10","tree_10",0.270417205128205,1,134
"135",0.204076,0.105683,0.0704218,0.285617,0.115589,0.218613,"tree_10","tree_10","tree_10",0.272383025641026,1,135
"136",0.202764,0.109021,0.0718711,0.283622,0.115112,0.217611,"tree_10","tree_10","tree_10",0.272379717948718,1,136
"137",0.202764,0.109021,0.0718711,0.283622,0.115112,0.217611,"tree_10","tree_10","tree_10",0.276497615384615,1,137
"138",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.276450692307692,1,138
"139",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.276400256410256,1,139
"140",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.271483451282051,1,140
"141",0.203097,0.107607,0.0719346,0.283755,0.115439,0.218167,"tree_10","tree_10","tree_10",0.264263974871795,1,141
"142",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.264206641538462,1,142
"143",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.264148231282051,1,143
"144",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.265642103076923,1,144
"145",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.268506256923077,1,145
"146",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.273166667179487,1,146
"147",0.203097,0.107607,0.0719346,0.283755,0.115439,0.218167,"tree_10","tree_10","tree_10",0.275611513333333,1,147
"148",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.283603231282051,1,148
"149",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.283552795384615,1,149
"150",0.203097,0.107607,0.0719346,0.283755,0.115439,0.218167,"tree_10","tree_10","tree_10",0.283503436410256,1,150
"151",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.283496615897436,1,151
"152",0.242763,0.214913,0.0832255,0.292894,0.107222,0.0589831,"tree_10","tree_10","tree_10",0.283493872307692,1,152
"153",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.283475821025641,1,153
"154",0.229555,0.0822487,0.0593756,0.319509,0.10365,0.205662,"tree_10","tree_10","tree_10",0.283456949230769,1,154
"155",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.283401282564103,1,155
"156",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.281359692820513,1,156
"157",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.279250487692308,1,157
"158",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.27204219948718,1,158
"159",0.0562147,0.742206,0.00787052,0.0943086,0.0268453,0.0725549,"tree_8","tree_10","tree_10",0.27734443025641,1,159
"160",7.74113e-05,0.0008891,0.000768929,0.00571242,6.78818e-05,0.992484,"tree_21","tree_10","tree_10",0.27739602,1,160
"161",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.277380122564103,1,161
"162",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.277380122564103,1,162
"163",0.0934251,0.0488835,0.0388857,0.343632,0.105244,0.36993,"tree_21","tree_10","tree_10",0.277372148205128,1,163
"164",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.277380122564103,1,164
"165",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.292032378974359,1,165
"166",0.229555,0.0822487,0.0593756,0.319509,0.10365,0.205662,"tree_10","tree_10","tree_10",0.292040353333333,1,166
"167",0.00163696,0.0281701,0.000294402,0.597048,0.14454,0.228311,"tree_10","tree_10","tree_10",0.292501661025641,1,167
"168",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.290276481538462,1,168
"169",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.290232866153846,1,169
"170",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.290268558461538,1,170
"171",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.290312173846154,1,171
"172",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.297696763589744,1,172
"173",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.297645173846154,1,173
"174",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.296712507179487,1,174
"175",0.385209,0.0302382,0.0724049,0.204,0.170071,0.138076,"tree_30","tree_10","tree_10",0.295504686666667,1,175
"176",0.140298,0.0634601,0.00133639,0.201363,0.291626,0.301916,"tree_21","tree_10","tree_10",0.295504686666667,1,176
"177",9.97585e-05,0.000645362,1.93925e-06,0.00201176,0.993818,0.00342335,"tree_2","tree_10","tree_10",0.289040325128205,1,177
"178",0.194054,0.000208382,0.0369534,0.491934,0.187101,0.0897486,"tree_10","tree_10","tree_10",0.306858837948718,1,178
"179",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.311700540512821,1,179
"180",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.31709252974359,1,180
"181",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.317108427179487,1,181
"182",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.317124324615385,1,182
"183",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.33155011948718,1,183
"184",0.0331399,0.000746576,0.0921597,0.854884,0.01428,0.00478977,"tree_10","tree_10","tree_10",0.33155011948718,1,184
"185",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.33155011948718,1,185
"186",0.242424,0.0568505,0.037249,0.301746,0.0651606,0.29657,"tree_10","tree_10","tree_10",0.337577273333333,1,186
"187",0.415407,0.0436935,0.0727638,0.196353,0.0920052,0.179777,"tree_30","tree_10","tree_10",0.329528222051282,1,187
"188",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.329520247692308,1,188
"189",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.329520247692308,1,189
"190",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.330802837435897,1,190
"191",0.0233024,0.321327,0.017047,0.580893,0.00395105,0.0534805,"tree_10","tree_10","tree_10",0.332076196410256,1,191
"192",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.334018786153846,1,192
"193",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.334026760512821,1,193
"194",0.147862,0.332464,0.0268002,0.238042,0.0732112,0.181621,"tree_8","tree_10","tree_10",0.33402676051282,1,194
"195",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.336063837435897,1,195
"196",0.0151296,0.0134303,0.0304712,0.0313359,0.0361633,0.87347,"tree_21","tree_10","tree_10",0.343995581025641,1,196
"197",0.000486673,0.0051463,9.63183e-05,0.978368,0.000247049,0.0156554,"tree_10","tree_10","tree_10",0.352124048717949,1,197
"198",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.351697433333333,1,198
"199",0.132512,0.409676,0.01709,0.216,0.063541,0.161181,"tree_8","tree_10","tree_10",0.351697433333333,1,199
"200",0.203097,0.107607,0.0719346,0.283755,0.115439,0.218167,"tree_10","tree_10","tree_10",0.351705407692308,1,200
"201",0.203097,0.107607,0.0719346,0.283755,0.115439,0.218167,"tree_10","tree_10","tree_10",0.354128228205128,1,201
"202",0.0180658,0.0160714,0.00973473,0.906238,0.00874685,0.041143,"tree_10","tree_10","tree_10",0.354136202564103,1,202
"203",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.34965668974359,1,203
"204",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.330162271794872,1,204
"205",0.10019,0.0156369,0.113885,0.554568,0.0790888,0.136631,"tree_10","tree_10","tree_10",0.326039271794872,1,205
"206",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.325613656410256,1,206
"207",0.202661,0.109182,0.0720188,0.283135,0.115227,0.217776,"tree_10","tree_10","tree_10",0.320583584589744,1,207
"208",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.320583584589744,1,208
"209",0.255034,0.110749,0.0398595,0.335168,0.086847,0.172342,"tree_10","tree_10","tree_10",0.320539969205128,1,209
"210",0.254468,0.109668,0.0398853,0.334808,0.0881041,0.173067,"tree_10","tree_10","tree_10",0.331307994846154,1,210
"211",0.274138,0.0726275,0.0297484,0.359207,0.0882719,0.176007,"tree_10","tree_10","tree_10",0.323689071769231,1,211
"212",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.323697046128205,1,212
"213",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.319305225615385,1,213
"214",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.338715558948718,1,214
"215",0.199604,0.176654,0.0307736,0.510701,0.00266991,0.0795975,"tree_10","tree_10","tree_10",0.338715558948718,1,215
"216",0.229546,0.0830633,0.060214,0.319022,0.102169,0.205985,"tree_10","tree_10","tree_10",0.34517992048718,1,216
"217",0.145315,0.0345708,0.0528077,0.475296,0.0512325,0.240779,"tree_10","tree_10","tree_10",0.330547458948718,1,217
"218",0.203989,0.105851,0.0705166,0.285147,0.115709,0.218787,"tree_10","tree_10","tree_10",0.330599048692308,1,218
"219",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.332328433307692,1,219
"220",0.217496,0.0429351,0.068692,0.377625,0.0554466,0.237805,"tree_10","tree_10","tree_10",0.332364125615385,1,220
"221",0.202736,0.111443,0.0699532,0.283446,0.114957,0.217464,"tree_10","tree_10","tree_10",0.332348228179487,1,221
